SalesID,SalesPrice
1227829,17946.101644918377
1227844,17201.014810993816
1227847,47087.94654423235
1227848,64374.48457174705
1227863,57948.51800315175
1227870,29019.624334203378
1227871,28889.336809480727
1227879,12372.155214066977
1227880,17730.605867101305
1227881,34839.36317104873
1227882,52344.18838596044
1227883,60399.048414122415
1227885,31924.53822516643
1227886,33922.7128977161
1227887,26821.257538283222
1227888,26821.257538283222
1227905,24390.597749816407
1227910,53037.33668163621
1227911,28793.23578327811
1227912,44807.448865870094
1227913,29537.38606015592
1227914,33522.41590640826
1227917,11859.334185121725
1227918,29033.30726152577
1227920,13822.327589410503
1227924,33008.75450484328
1227925,24756.414123393806
1227930,11707.944213712342
1227933,16825.54207563655
1227942,18880.434971387418
1227949,29738.292076478712
1227972,16251.906506560383
1227976,34108.3442023233
1227977,11565.395306087708
1227979,47441.619995317145
1227980,14568.075462030862
1227988,18980.786822826296
1227990,14240.08815113914
1227991,17297.657540558852
1227992,21480.31440775698
1227994,27910.762241141492
1227997,17180.384429897582
1228007,37523.76333375012
1228012,57193.38114572625
1228019,69659.70134589483
1228031,21003.35645105561
1228040,58355.08060139186
1228042,22610.26284230261
1228046,11812.25140206908
1228049,33003.81524166838
1228050,33850.12552379788
1228056,11517.667174747767
1228061,24212.104392010042
1228065,8115.803850495603
1228069,7744.463438167637
1228071,51721.56644340353
1228072,50660.63504765789
1228075,26885.48282569637
1228076,29065.332299889
1228089,35126.74246778978
1228104,19236.677312501684
1228105,45448.32162834155
1228107,30921.0235433641
1228113,43788.926002314445
1228117,40196.87400687333
1228119,40735.91738345009
1228122,52106.91805088187
1228123,65483.816463356896
1228124,8204.514919618206
1228129,23791.64741441815
1228130,46689.125466280035
1228131,42017.60861659316
1228134,36726.020802877036
1228135,24141.727630218295
1228136,28349.838976749154
1228142,14747.647951698757
1228145,39657.03294346049
1228149,29132.956810346514
1228150,22306.50331998726
1228152,39708.03021539397
1228153,19828.85847151859
1228155,9544.173761418704
1228156,48643.994164386095
1228157,48922.46959622549
1228158,33223.23236015033
1228160,24288.784907902555
1228161,26871.53671849263
1228168,18560.324935860557
1228179,23667.659200713577
1228182,24757.653159480273
1228183,12798.465590026524
1228188,51630.33599731453
1228192,24067.03667083118
1228195,25944.917470595923
1228197,59121.198378332134
1228198,18463.911733294266
1228200,12872.568329634985
1228203,17097.39742506036
1228214,56682.65741836852
1228217,20701.26821156873
1228219,42053.049337358556
1228222,10844.828081842757
1228225,11048.81139513953
1228228,11201.398892189383
1228229,13800.98367496152
1228231,14729.386100940275
1228236,13269.27617559515
1228237,11482.60354297835
1228238,23170.33423353112
1228244,11680.47761907103
1228245,22733.560812682335
1228247,23839.67857440869
1228248,14738.709192667491
1228253,18643.539449550015
1228254,12532.304498799274
1228256,29084.67335486086
1228265,20026.374729037547
1228270,36543.89218629881
1228277,24153.59021316016
1228287,66558.75944014275
1228288,46606.27402020493
1228289,18465.34729644031
1228290,18448.80771716048
1228291,19458.39442574175
1228292,40230.955628502204
1228293,39105.41592730403
1228305,43688.79973279645
1228314,25235.61946667145
1228315,60117.36052986401
1228320,17921.668017024702
1228326,20717.623347504108
1228328,13523.227239468048
1228329,11252.087112926849
1228330,21403.235395948308
1228332,51048.76254997152
1228333,20335.65991819652
1228345,21408.52889768041
1228351,15457.904625858562
1228352,19989.980841831166
1228353,11031.056392921233
1228354,36772.33832979886
1228356,45215.042620069136
1228357,10300.657395034084
1228359,33863.747351612095
1228360,38460.596058484145
1228361,33803.75554248813
1228362,33338.49583283504
1228364,31740.45522399529
1228365,34888.99231191672
1228367,35930.16893398569
1228368,34943.80042815801
1228369,8285.331860278311
1228371,25729.35890451698
1228374,17114.873874292745
1228375,9347.967039850146
1228376,26071.42366267549
1228380,15161.856393621934
1228381,14055.12170705756
1228384,12966.304202083033
1228385,13414.864504493471
1228386,11926.713633411204
1228387,12128.733296754395
1228389,11958.034656138476
1228391,22772.428658963585
1228394,20473.69398084858
1228395,17668.49682139027
1228400,46051.756022217814
1228401,19961.93320871399
1228402,28126.59672086385
1228403,42920.88863044178
1228404,58180.27167379189
1228406,13015.946576232282
1228411,27849.9232792419
1228415,44637.36903254591
1228416,44033.493256824506
1228421,24782.675905857985
1228422,50251.360552824364
1228424,23139.100686626327
1228426,11395.245968062725
1228429,29223.650503736026
